date,sma_3,sma_5,sma_8,sma_10,sma_12,sma_15,sma_30,sma_35,sma_40,sma_45,sma_50,sma_60,ema_3,ema_5,ema_8,ema_10,ema_12,ema_15,ema_30,ema_35,ema_40,ema_45,ema_50,ema_60
2018-01-05,14831.30079820421,15884.144200981991,15982.848269992406,15357.7224995931,14502.287234836156,12988.824843343098,,,,,,,15407.136974921743,15379.418353131745,15001.974413152404,14667.489984265003,14348.240232637409,13936.791969749003,12810.374508457193,12617.114077779706,12467.348868720597,12348.137212935237,12251.119337008573,12102.9683002178
2018-01-06,15708.670300519027,15620.933350287547,16311.86183336046,15884.144200981988,15160.314361572266,13778.457395426434,,,,,,,16435.27510105305,16074.395503124437,15553.614853515732,15187.320715589256,14848.421999224965,14415.481425931763,13228.263252271361,13023.549253577105,12864.701132249253,12738.137731463481,12635.061549165375,12477.537329150051
2018-01-09,16147.355051676435,15357.7224995931,16147.355051676434,16015.749626329209,15489.327924940322,14304.879096815323,,,,,,,15633.287184793353,15659.905952597323,15392.040184408943,15121.39850197184,14845.691305434431,14471.323616137153,13368.680266584137,13170.982790012778,13016.444429773886,12892.662594335006,12791.451711038888,12636.128083094834
2018-01-11,15269.98554936162,15094.511648898657,15653.834706624351,15884.144200981991,15598.999112729674,14655.826897741248,,,,,,,14574.26635978219,14944.876130002025,14972.835034732592,14824.988194904101,14634.687357966734,14344.11023716039,13381.22903962616,13198.348149943246,13053.86999141251,12937.270353530419,12841.394032797072,12693.380510084788
2018-01-16,13515.24654473199,14831.300798204213,14831.30079820421,15489.327924940322,15489.327924940322,14831.30079820421,,,,,,,13386.729042390018,14029.525840614251,14354.013081165913,14341.724468167055,14250.252463272416,14060.99372885594,13282.11642495633,13120.782193021605,12991.383077440654,12885.836462565267,12798.363355920288,12662.204753290494
2018-01-23,12199.192291259766,13778.457395426434,14173.273671468101,14831.300798204209,15160.314361572266,14831.30079820421,,,,,,,12134.93339086311,12980.636445271375,13580.318347118517,13706.604172631563,13720.882291074031,13644.448890368538,13084.779545986976,12950.822563147149,12840.907022135609,12749.84011383611,12673.50359228676,12553.273114417216
2018-02-01,10883.138037787543,12199.192291259766,13515.246544731988,13910.062820773655,14611.958422625505,14655.826897741248,,,,,,,10851.008511061329,11842.717962295827,12686.341310530288,12947.819206548007,13070.025842021852,13113.227169229807,12800.462925586498,12698.949636450976,12612.400780834349,12538.863888354395,12476.11369672566,12375.48651886527
2018-02-05,9567.08378431532,10883.138037787543,12857.219417995877,13120.430268690321,13844.260108100045,14304.879096815323,,,,,,,9551.018982209507,10645.441070432144,11698.871829220436,12088.161431302497,12317.080761668565,12483.083765724072,12438.656974583651,12373.998326787196,12314.252221966215,12260.973463200657,12214.016989711228,12136.329022174525
2018-02-17,9567.08378431532,10356.716336398655,12199.192291259766,12725.613992648656,13186.232981363932,14041.668246120877,,,,,,,10217.078519923585,10724.675484784892,11517.333891975586,11867.872035970715,12093.570296386122,12276.679516738854,12316.779707779748,12266.954096480367,12218.298387525325,12173.542248896796,12133.299717200585,12065.448551165318
2018-03-17,9128.399033157913,9567.083784315319,11047.64481947157,12199.192291259766,12528.20585462782,13515.246544731988,,,,,,,9234.054018059238,9900.1123203794,10790.667305664827,11207.334475389926,11495.839080920985,11759.415057046053,12002.569241279427,11983.218681403268,11957.071637543839,11929.512344363198,11902.782479688107,11854.714839902717
2018-03-30,8689.714282000505,8777.451232231988,10060.604129367404,11277.95431382921,11870.17872789171,12813.350942880135,,,,,,,8084.514643432689,8911.7217083035,9933.093106256198,10427.71259327708,10787.579419540907,11141.669637317425,11615.870651822886,11631.851873114405,11631.937667815919,11624.50312682227,11613.638890893119,11588.886352304204
2018-04-24,8251.029530843098,8777.451232231988,9567.08378431532,10488.321761745876,11541.165164523654,12199.192291259766,,,,,,,8825.799215254754,9130.1774425419,9851.70206139465,10270.768624127782,10598.32120634008,10940.663846391286,11461.353633067338,11490.130951673631,11500.357651653383,11501.031383163428,11496.74190791178,11481.914943209827
2018-06-10,7812.34477968569,8514.240381537544,8909.056657579209,9698.689209662542,10773.46684999819,11585.033639639394,11102.480413366247,,,,,,7880.387245432332,8398.439571402341,9203.195743614608,9662.783718990613,10030.950787888243,10430.66719789917,11123.661414038646,11181.512951356524,11213.718144509361,11231.466189352628,11240.761671122935,11246.086582631646
2018-11-16,7373.660028528283,7461.396978759764,8251.029530843098,8909.056657579209,9786.426159894025,10970.874988019024,11234.08583871347,,,,,,6749.654134138954,7471.930167678041,8406.360724212793,8926.071614788849,9348.330096915357,9819.46166265443,10717.08021809981,10809.180665356083,10867.29798246897,10905.19594187038,10930.538481950984,10959.695867996854
2018-11-24,5618.9210238986525,6671.764426676431,7593.002404106986,8119.424105495875,8909.056657579209,10356.716336398653,11277.95431382921,,,,,,5526.260451997849,6415.573253482298,7494.179780369867,8084.119669180271,8568.385832391126,9120.13885515262,10247.710982104649,10378.580324105158,10466.110468789759,10526.930382322444,10570.55920537362,10626.926729382545
2019-05-11,5618.9210238986525,6671.764426676431,7428.495622422959,7724.607829454209,8360.70071863245,9742.557684778285,11365.691264060693,,,,,,6230.617864766359,6588.707528974551,7369.881017409951,7874.905947563643,8316.073858498385,8843.620616138827,10007.37816678097,10153.072263423739,10252.93341394719,10323.941600810322,10376.03111329779,10445.490377896667
2019-05-26,6496.290526213467,6408.553575981986,7099.4820590549025,7593.002404106986,8031.687155264394,9128.399033157912,11453.428214292171,,,,,,7240.8236978635305,7142.815433740688,7565.729905558067,7943.366584273145,8306.032757450823,8768.74763452453,9880.973621938889,10029.739766923809,10133.461802353891,10208.304263847906,10263.931314479722,10339.38193709318
2019-06-21,8251.029530843098,6934.975277370875,7263.988840738932,7724.607829454208,7922.015967475042,8777.451232231986,11541.165164523654,10507.12253679548,,,,,8403.953741123276,7950.905438897326,8010.542528316137,8238.851088933188,8500.602693241995,8869.48035601917,9858.55009028014,10000.016198962694,10100.025339046275,10172.968663782558,10227.661638056663,10302.61148634345
2019-06-24,9567.08378431532,7987.818680148654,7757.509185791015,7724.607829454209,8031.687155264393,8601.977331769023,11628.902114755136,10770.333387489924,,,,,9643.545889473447,8928.31675269303,8648.972233069682,8719.981169922139,8868.044775496532,9123.261280354756,9931.24105068742,10056.264018052012,10145.787566642197,10211.653962863144,10261.345767742312,10329.84758851019
2019-06-26,10883.138037787543,9567.08378431532,8086.52274915907,8119.424105495875,8360.70071863245,8601.977331769023,11716.639064986615,11033.54423818437,,,,,10921.369090375903,10018.60893166891,9437.982257027996,9352.942426442236,9381.591205592038,9510.521515887303,10091.116261457753,10191.649898065136,10264.63343470199,10318.744350182451,10359.731667730686,10416.32823349072
2019-07-16,10883.138037787543,10093.505485704209,8415.536312527125,8382.634956190319,8251.0295308431,8514.240381537542,11672.770589870875,11183.950438581194,,,,,10244.226437343148,9868.100518591527,9466.67352827449,9391.89622269919,9410.178557477639,9517.636310546764,10054.395005669821,10152.48956915368,10224.624982646608,10278.6611613891,10319.948050745543,10377.56241820994
2019-09-26,10005.768535472727,10093.505485704209,8744.549875895182,8251.029530843098,8251.029530843098,8426.50343130606,11541.165164523654,11259.153538779607,,,,,9247.627984091312,9329.076782886596,9196.515455941202,9184.383084882431,9231.583457578861,9358.438998386231,9928.72378475847,10034.113658999047,10112.390459311331,10171.58973729409,10217.234701510184,10281.724215524586
2019-12-16,8251.029530843098,9567.083784315319,9073.563439263236,8251.029530843098,8251.029530843098,8338.76648107458,11321.82278894495,11259.153538779607,10389.617692735459,,,,8091.301630730041,8531.042875542316,8693.929323119331,8775.266236730924,8877.815828619781,9054.048045556532,9721.171517817065,9842.459984004665,9933.146701191019,10002.256107799889,10055.966004181171,10132.723404093205
2020-02-05,8251.029530843098,9303.872933620874,9402.577002631291,8645.845806884765,8251.029530843098,8251.029530843098,11146.348888481987,11296.755088878812,10587.025830756293,,,,8829.192707523016,8876.389865954916,8887.970148675387,8919.271542343988,8983.96960583826,9118.447418449698,9710.540000872352,9825.536825824322,9912.65282305942,9979.688201237192,10032.181428409047,10107.832601484322
2020-03-12,7812.34477968569,8251.029530843098,9238.070220947264,8909.056657579207,8251.029530843098,8163.292580611615,10839.269562671801,11221.5519886804,10685.72989976671,,,,7882.083992446731,8229.251643748808,8453.959979177544,8558.411511542146,8668.456642186422,8844.508804731573,9519.88988836604,9648.940038064744,9747.141161577096,9823.102711393813,9882.90789421173,9969.760825928617
2020-03-12,7373.660028528283,7461.396978759764,8744.549875895182,8777.451232231986,8251.029530843098,8075.555630380134,10444.453286630134,11071.145788283575,10718.631256103516,,,,6750.5025081725635,7359.141413816301,7823.938553853266,8023.863079842024,8198.940888568784,8440.012373125981,9253.050578755288,9404.085097437553,9519.228215075356,9608.59274154254,9679.229113428833,9782.437245197494
2020-04-29,6934.975277370875,7461.396978759764,8415.536312527125,8777.451232231986,8580.043094211152,7987.818680148654,10093.505485704209,10958.341137985957,10784.433968777126,,,,7500.766019507873,7656.437458136203,7918.849155942225,8065.172116504263,8206.959676697465,8416.323004644644,9184.774393858126,9334.39058577522,9449.660022710123,9539.844479215004,9611.58644411591,9717.17323999377
2020-05-07,7812.34477968569,7987.818680148654,8086.52274915907,8777.451232231988,8799.385469789857,8163.292580611616,9874.163110125506,10845.536487688336,10850.236681450737,10122.75113578137,,,8533.924901911625,8293.31957444752,8285.12800846856,8338.279667309078,8416.323333908544,8560.5223650415,9210.730350810232,9348.386925387455,9456.062512136787,9541.214092845772,9609.495732400801,9710.839142320194
