date,brick_low,brick_high,direction,trend
2017-05-08,354.7040100097656,1670.7582634819878,up,1
2017-08-05,1670.7582634819878,2986.81251695421,up,2
2017-08-14,2986.8125169542095,4302.866770426432,up,3
2017-10-13,4302.866770426432,5618.921023898654,up,4
2017-11-02,5618.921023898654,6934.975277370877,up,5
2017-11-22,6934.975277370877,8251.0295308431,up,6
2017-11-27,8251.0295308431,9567.083784315322,up,7
2017-12-01,9567.083784315322,10883.138037787545,up,8
2017-12-06,10883.138037787545,12199.192291259767,up,9
2017-12-06,12199.192291259767,13515.24654473199,up,10
2017-12-07,13515.24654473199,14831.300798204213,up,11
2017-12-07,14831.300798204213,16147.355051676435,up,12
2017-12-07,16147.355051676434,17463.409305148656,up,13
2017-12-16,17463.409305148656,18779.46355862088,up,14
2017-12-21,16147.355051676434,17463.409305148656,down,1
2017-12-22,14831.30079820421,16147.355051676434,down,2
2017-12-30,13515.246544731988,14831.30079820421,down,3
2018-01-05,14831.30079820421,16147.355051676434,up,1
2018-01-06,16147.355051676434,17463.409305148656,up,2
2018-01-09,14831.30079820421,16147.355051676434,down,1
2018-01-11,13515.246544731988,14831.30079820421,down,2
2018-01-16,12199.192291259766,13515.246544731988,down,3
2018-01-23,10883.138037787543,12199.192291259766,down,4
2018-02-01,9567.08378431532,10883.138037787543,down,5
2018-02-05,8251.029530843098,9567.08378431532,down,6
2018-02-17,9567.08378431532,10883.138037787543,up,1
2018-03-17,8251.029530843098,9567.08378431532,down,6
2018-03-30,6934.975277370875,8251.029530843098,down,7
2018-04-24,8251.029530843098,9567.08378431532,up,1
2018-06-10,6934.975277370875,8251.029530843098,down,7
2018-11-16,5618.9210238986525,6934.975277370875,down,8
2018-11-24,4302.86677042643,5618.9210238986525,down,9
2019-05-11,5618.9210238986525,6934.975277370875,up,1
2019-05-26,6934.975277370875,8251.029530843098,up,2
2019-06-21,8251.029530843098,9567.08378431532,up,3
2019-06-24,9567.08378431532,10883.138037787543,up,4
2019-06-26,10883.138037787543,12199.192291259766,up,5
2019-07-16,9567.08378431532,10883.138037787543,down,1
2019-09-26,8251.029530843098,9567.08378431532,down,2
2019-12-16,6934.975277370875,8251.029530843098,down,3
2020-02-05,8251.029530843098,9567.08378431532,up,1
2020-03-12,6934.975277370875,8251.029530843098,down,1
2020-03-12,5618.9210238986525,6934.975277370875,down,2
2020-04-29,6934.975277370875,8251.029530843098,up,1
2020-05-07,8251.029530843098,9567.08378431532,up,2
2020-07-27,9567.08378431532,10883.138037787543,up,3
2020-08-17,10883.138037787543,12199.192291259766,up,4
2020-10-27,12199.192291259766,13515.246544731988,up,5
2020-11-05,13515.246544731988,14831.30079820421,up,6
2020-11-12,14831.30079820421,16147.355051676434,up,7
2020-11-17,16147.355051676434,17463.409305148656,up,8
2020-11-24,17463.409305148656,18779.46355862088,up,9
2020-12-16,18779.46355862088,20095.5178120931,up,10
2020-12-17,20095.5178120931,21411.572065565324,up,11
2020-12-17,21411.572065565324,22727.626319037547,up,12
2020-12-25,22727.626319037547,24043.68057250977,up,13
2020-12-26,24043.68057250977,25359.734825981992,up,14
2020-12-28,25359.734825981992,26675.789079454215,up,15
2020-12-30,26675.789079454215,27991.843332926437,up,16
2021-01-01,27991.843332926437,29307.89758639866,up,17
2021-01-02,29307.89758639866,30623.951839870882,up,18
2021-01-02,30623.951839870882,31940.006093343105,up,19
2021-01-05,31940.006093343105,33256.06034681533,up,20
2021-01-06,33256.06034681533,34572.11460028755,up,21
2021-01-06,34572.11460028755,35888.168853759766,up,22
2021-01-07,35888.168853759766,37204.223107231985,up,23
2021-01-07,37204.223107231985,38520.2773607042,up,24
2021-01-08,38520.2773607042,39836.33161417642,up,25
2021-01-11,37204.223107231985,38520.2773607042,down,1
2021-01-11,35888.168853759766,37204.223107231985,down,2
2021-01-12,34572.11460028755,35888.168853759766,down,3
2021-01-13,35888.168853759766,37204.223107231985,up,1
2021-01-14,37204.223107231985,38520.2773607042,up,2
2021-01-17,35888.168853759766,37204.223107231985,down,1
2021-01-21,34572.11460028755,35888.168853759766,down,2
2021-01-21,33256.06034681533,34572.11460028755,down,3
2021-01-21,31940.006093343105,33256.06034681533,down,4
2021-01-27,30623.951839870882,31940.006093343105,down,5
2021-01-28,31940.006093343105,33256.06034681533,up,1
2021-02-02,33256.06034681533,34572.11460028755,up,2
2021-02-03,34572.11460028755,35888.168853759766,up,3
2021-02-03,35888.168853759766,37204.223107231985,up,4
2021-02-06,37204.223107231985,38520.2773607042,up,5
2021-02-08,38520.2773607042,39836.33161417642,up,6
2021-02-08,39836.33161417642,41152.38586764864,up,7
2021-02-08,41152.38586764864,42468.44012112086,up,8
2021-02-08,42468.44012112086,43784.49437459308,up,9
2021-02-08,43784.49437459308,45100.5486280653,up,10
2021-02-09,45100.5486280653,46416.60288153752,up,11
2021-02-11,46416.60288153752,47732.65713500974,up,12
2021-02-16,47732.65713500974,49048.711388481956,up,13
2021-02-17,49048.711388481956,50364.765641954174,up,14
2021-02-17,50364.765641954174,51680.81989542639,up,15
2021-02-19,51680.81989542639,52996.87414889861,up,16
2021-02-19,52996.87414889861,54312.92840237083,up,17
2021-02-19,54312.92840237083,55628.98265584305,up,18
2021-02-21,55628.98265584305,56945.03690931527,up,19
2021-02-22,54312.92840237083,55628.98265584305,down,1
2021-02-23,52996.87414889861,54312.92840237083,down,2
2021-02-23,51680.81989542639,52996.87414889861,down,3
2021-02-23,50364.765641954174,51680.81989542639,down,4
2021-02-23,49048.711388481956,50364.765641954174,down,5
2021-02-25,47732.65713500974,49048.711388481956,down,6
2021-02-26,46416.60288153752,47732.65713500974,down,7
2021-03-01,47732.65713500974,49048.711388481956,up,1
2021-03-03,49048.711388481956,50364.765641954174,up,2
2021-03-08,50364.765641954174,51680.81989542639,up,3
2021-03-09,51680.81989542639,52996.87414889861,up,4
2021-03-09,52996.87414889861,54312.92840237083,up,5
2021-03-10,54312.92840237083,55628.98265584305,up,6
2021-03-11,55628.98265584305,56945.03690931527,up,7
2021-03-13,56945.03690931527,58261.09116278749,up,8
2021-03-13,58261.09116278749,59577.14541625971,up,9
2021-03-13,59577.14541625971,60893.19966973193,up,10
2021-03-15,58261.09116278749,59577.14541625971,down,1
2021-03-15,56945.03690931527,58261.09116278749,down,2
2021-03-22,55628.98265584305,56945.03690931527,down,3
2021-03-24,54312.92840237083,55628.98265584305,down,4
2021-03-24,52996.87414889861,54312.92840237083,down,5
2021-03-27,54312.92840237083,55628.98265584305,up,1
2021-03-29,55628.98265584305,56945.03690931527,up,2
2021-03-30,56945.03690931527,58261.09116278749,up,3
2021-04-10,58261.09116278749,59577.14541625971,up,4
2021-04-13,59577.14541625971,60893.19966973193,up,5
2021-04-13,60893.19966973193,62209.253923204145,up,6
2021-04-18,59577.14541625971,60893.19966973193,down,1
2021-04-18,58261.09116278749,59577.14541625971,down,2
2021-04-18,56945.03690931527,58261.09116278749,down,3
2021-04-21,55628.98265584305,56945.03690931527,down,4
2021-04-21,54312.92840237083,55628.98265584305,down,5
2021-04-22,52996.87414889861,54312.92840237083,down,6
2021-04-23,51680.81989542639,52996.87414889861,down,7
2021-04-24,50364.765641954174,51680.81989542639,down,8
2021-04-25,49048.711388481956,50364.765641954174,down,9
2021-04-26,50364.765641954174,51680.81989542639,up,1
2021-04-26,51680.81989542639,52996.87414889861,up,2
2021-04-27,52996.87414889861,54312.92840237083,up,3
2021-04-30,54312.92840237083,55628.98265584305,up,4
2021-04-30,55628.98265584305,56945.03690931527,up,5
2021-05-04,54312.92840237083,55628.98265584305,down,1
2021-05-05,55628.98265584305,56945.03690931527,up,5
2021-05-08,56945.03690931527,58261.09116278749,up,6
2021-05-12,55628.98265584305,56945.03690931527,down,1
2021-05-12,54312.92840237083,55628.98265584305,down,2
2021-05-12,52996.87414889861,54312.92840237083,down,3
2021-05-12,51680.81989542639,52996.87414889861,down,4
2021-05-12,50364.765641954174,51680.81989542639,down,5
2021-05-15,49048.711388481956,50364.765641954174,down,6
2021-05-15,47732.65713500974,49048.711388481956,down,7
2021-05-17,46416.60288153752,47732.65713500974,down,8
2021-05-17,45100.5486280653,46416.60288153752,down,9
2021-05-17,43784.49437459308,45100.5486280653,down,10
2021-05-19,42468.44012112086,43784.49437459308,down,11
2021-05-19,41152.38586764864,42468.44012112086,down,12
2021-05-19,39836.33161417642,41152.38586764864,down,13
2021-05-19,38520.2773607042,39836.33161417642,down,14
2021-05-19,37204.223107231985,38520.2773607042,down,15
2021-05-20,38520.2773607042,39836.33161417642,up,1
2021-05-23,37204.223107231985,38520.2773607042,down,15
2021-05-23,35888.168853759766,37204.223107231985,down,16
2021-05-24,37204.223107231985,38520.2773607042,up,1
2021-05-28,35888.168853759766,37204.223107231985,down,16
2021-06-03,37204.223107231985,38520.2773607042,up,1
2021-06-05,35888.168853759766,37204.223107231985,down,16
2021-06-07,34572.11460028755,35888.168853759766,down,17
2021-06-09,35888.168853759766,37204.223107231985,up,1
2021-06-13,37204.223107231985,38520.2773607042,up,2
2021-06-14,38520.2773607042,39836.33161417642,up,3
2021-06-18,37204.223107231985,38520.2773607042,down,1
2021-06-18,35888.168853759766,37204.223107231985,down,2
