date,sma_3,sma_5,sma_8,sma_10,sma_12,sma_15,sma_30,sma_35,sma_40,sma_45,sma_50,sma_60,ema_3,ema_5,ema_8,ema_10,ema_12,ema_15,ema_30,ema_35,ema_40,ema_45,ema_50,ema_60
2017-11-23,,,,,,,,,,,,,381.41068861219617,381.41068861219617,381.41068861219617,381.41068861219617,381.41068861219617,381.41068861219617,381.41068861219617,381.41068861219617,381.41068861219617,381.41068861219617,381.41068861219617,381.41068861219617
2017-11-24,,,,,,,,,,,,,410.59713971173323,407.6784946017795,406.0367567274306,405.48951076931417,405.12468013056997,404.7598494918258,404.0301882143374,403.9259508889819,403.84777289496526,403.78696778850787,403.73832370334196,403.6653575755932
2017-11-24,425.1903652615017,,,,,,,,,,,,443.95308382548984,436.7113328007926,432.4491717525783,431.0082624906452,430.04353957828386,429.0761353783039,427.13540828183375,426.85770876827615,426.64938385427183,426.4873273742198,426.35766766516275,426.16315689152054
2017-12-11,468.9700419108073,,,,,,,,,,,,480.64462235062206,468.2965084238948,460.5929691673344,457.93843031947233,456.15064808734684,454.3509876432515,450.72527063385195,450.20528281190195,449.8150661163786,449.51144744790105,449.2684872238713,448.90395152506994
2017-12-12,512.7497185601128,468.97004191080725,,,,,,,,,,,519.8109567293556,502.1679009813707,490.39453591427406,486.24121491102346,483.42319492911474,480.5725750996151,474.79827059915175,473.9677240215855,473.3441832951521,472.85888075090594,472.4704561691235,471.88755257733015
2017-12-12,556.5293952094183,512.7497185601128,,,,,,,,,,,560.6988882236379,538.0300130463283,521.7646128272343,515.8685774715565,511.83261236614453,507.72594044653,499.35248176242413,498.14381604200815,497.23591912439326,496.52905331663925,495.9631557259741,495.1137174350678
2017-12-12,600.3090718587238,556.5293952094183,,,,,,,,,,,602.7221249023864,575.580677520141,554.6017265858131,546.7644879632031,541.3451064172948,535.793182399495,524.3855620162896,522.7320779760839,521.4892789069129,520.5212652766334,519.7460750316801,518.5821499627754
2017-12-13,644.0887485080294,600.3090718587239,534.6395568847656,,,,,,,,,,645.4622285597724,614.529655170029,588.795807148184,578.8663136932074,571.9222646588773,564.753669222784,549.8947608818239,547.7307677997267,546.1030912753183,544.8346918412221,543.8186117162882,542.2925007367885
2017-12-18,687.868425157335,644.0887485080295,578.419233534071,,,,,,,,,,688.6394957832523,654.6117650434217,624.2317602240662,612.1062842999919,603.521720364289,594.5842787765324,575.8769280529888,573.1378863607282,571.0760102584194,569.468384452124,568.1800725857148,566.244367321111
2017-12-18,731.6481018066406,687.868425157335,622.1989101833766,578.419233534071,,,,,,,,,732.0760556350796,695.5944723592116,660.7927988377635,646.4129710229569,636.0978515623311,625.2596597637042,602.3285231132942,598.9511819438454,596.4065176461371,594.4212721037868,592.8296744058059,590.4372945845198
2017-12-19,775.4277784559462,731.6481018066404,665.9785868326823,622.1989101833767,,,,,,,,,775.6630380764357,737.2807356626623,698.363385870402,681.7127238543941,669.6024939262996,656.7525086194404,629.2456263664709,625.1681553817964,622.0929256448088,619.6921628299001,617.7665447856416,614.8707750584637
2017-12-22,775.4277784559459,749.1599724663627,693.3408847384982,652.8446838378906,611.2539910210503,,,,,,,,753.6501957124453,735.3886077583632,706.1411621332411,691.6897209773691,680.6339993204065,668.4757132688353,641.2401079722838,637.085932956766,633.9357449051573,631.4666842676515,629.4803036571302,626.4834813144914
