date,brick_low,brick_high,direction,trend
2018-03-17,577.487301296658,641.6381259494358,down,5
2018-03-26,513.3364766438801,577.487301296658,down,6
2018-03-28,449.18565199110236,513.3364766438801,down,7
2018-04-01,385.0348273383246,449.18565199110236,down,8
2018-04-15,449.18565199110236,513.3364766438801,up,1
2018-04-20,513.3364766438801,577.487301296658,up,2
2018-04-23,577.487301296658,641.6381259494358,up,3
2018-04-24,641.6381259494358,705.7889506022136,up,4
2018-05-03,705.7889506022136,769.9397752549914,up,5
2018-05-23,641.6381259494358,705.7889506022136,down,1
2018-05-27,577.487301296658,641.6381259494358,down,2
2018-06-12,513.3364766438801,577.487301296658,down,3
2018-06-26,449.18565199110236,513.3364766438801,down,4
2018-08-07,385.0348273383246,449.18565199110236,down,5
2018-08-12,320.8840026855468,385.0348273383246,down,6
2018-09-05,256.73317803276905,320.8840026855468,down,7
2018-09-11,192.58235337999128,256.73317803276905,down,8
2018-11-22,128.4315287272135,192.58235337999128,down,9
2019-05-16,192.58235337999128,256.73317803276905,up,1
2019-06-26,256.73317803276905,320.8840026855468,up,2
2019-08-14,192.58235337999128,256.73317803276905,down,1
2019-12-17,128.4315287272135,192.58235337999128,down,2
2020-02-12,192.58235337999128,256.73317803276905,up,1
2020-03-12,128.4315287272135,192.58235337999128,down,1
2020-07-22,192.58235337999128,256.73317803276905,up,1
2020-07-27,256.73317803276905,320.8840026855468,up,2
2020-08-01,320.8840026855468,385.0348273383246,up,3
2020-09-01,385.0348273383246,449.18565199110236,up,4
2020-11-21,449.18565199110236,513.3364766438801,up,5
2020-11-23,513.3364766438801,577.487301296658,up,6
2020-12-17,577.487301296658,641.6381259494358,up,7
2020-12-28,641.6381259494358,705.7889506022136,up,8
2021-01-02,705.7889506022136,769.9397752549914,up,9
2021-01-03,769.9397752549914,834.0905999077693,up,10
2021-01-03,834.0905999077693,898.2414245605471,up,11
2021-01-03,898.2414245605471,962.3922492133249,up,12
2021-01-04,962.3922492133249,1026.5430738661028,up,13
2021-01-05,1026.5430738661028,1090.6938985188806,up,14
2021-01-06,1090.6938985188806,1154.8447231716584,up,15
2021-01-07,1154.8447231716584,1218.9955478244362,up,16
2021-01-11,1090.6938985188806,1154.8447231716584,down,1
2021-01-16,1154.8447231716584,1218.9955478244362,up,16
2021-01-19,1218.9955478244362,1283.146372477214,up,17
2021-01-19,1283.146372477214,1347.297197129992,up,18
2021-01-21,1218.9955478244362,1283.146372477214,down,1
2021-01-21,1154.8447231716584,1218.9955478244362,down,2
2021-01-24,1218.9955478244362,1283.146372477214,up,17
2021-01-24,1283.146372477214,1347.297197129992,up,18
2021-02-02,1347.297197129992,1411.4480217827697,up,19
2021-02-02,1411.4480217827697,1475.5988464355476,up,20
2021-02-03,1475.5988464355476,1539.7496710883254,up,21
2021-02-03,1539.7496710883254,1603.9004957411032,up,22
2021-02-05,1603.9004957411032,1668.051320393881,up,23
2021-02-08,1668.051320393881,1732.2021450466589,up,24
2021-02-12,1732.2021450466589,1796.3529696994367,up,25
2021-02-18,1796.3529696994367,1860.5037943522145,up,26
2021-02-18,1860.5037943522145,1924.6546190049924,up,27
