date,qty,vwap,buyer_capital_ratio,buyer_participation_ratio,buyer_volume_ratio,whale_impact
2025-01-01,10373.32613,94033.88864030619,0.5155743800238789,0.48833541260593083,0.0310553072334573,0.027238967417948068
2025-01-02,21970.48948,96420.78546359632,0.49670544894368185,0.5044844902564499,-0.006306175387040203,0.007779041312768076
2025-01-03,15253.82936,97458.20105272187,0.48956139850006125,0.49265387750406503,-0.02075632370913055,0.0030924790040037786
2025-01-04,8990.05651,98022.04809893461,0.4840140921519835,0.5004660310183067,-0.032085681517034274,0.01645193886632318
2025-01-05,8095.63723,98069.08256864079,0.47907815347981164,0.4853550156335364,-0.04197538999656983,0.006276862153724749
2025-01-06,25263.43375,100562.80210828995,0.4963245982321295,0.49819783678135987,-0.0072928752212869895,0.0018732385492303827
2025-01-07,32059.875369999998,98890.64206044779,0.46187422585175497,0.49162783597236237,-0.07578464613351366,0.0297536101206074
2025-01-08,33704.67894,95115.84687751849,0.4690773928064147,0.4860365315028906,-0.062216202199492,0.016959138696475917
2025-01-09,34544.83685,93144.74117267103,0.44374103071682447,0.48819319742744555,-0.11282680554909033,0.04445216671062108
2025-01-10,31482.86424,94085.63721214027,0.4961746119130506,0.4837601176112422,-0.0078769129171202,0.01241449430180841
2025-01-11,7047.9043,94451.62229756865,0.4842327762474469,0.4826455980553285,-0.03166201902032065,0.0015871781921184547
2025-01-12,8606.86622,94491.8636900104,0.46809501985726887,0.48296031679529894,-0.06392635669431838,0.01486529693803007
2025-01-13,42619.56423,92226.80253451894,0.45740037881596407,0.4850872580088044,-0.08615300171031337,0.027686879192840352
2025-01-14,27846.61753,96099.58794722421,0.5117486199757911,0.4988063993145262,0.023369976238546752,0.012942220661264936
2025-01-15,30509.991789999996,98533.04463595843,0.5081853130023756,0.4796867496477152,0.01567898389788453,0.02849856335466039
2025-01-16,27832.85317,99348.853089207,0.4854914836443767,0.4683780899899143,-0.02895064422890431,0.017113393654462405
2025-01-17,39171.852920000005,103160.65450689553,0.5274007585424074,0.47176379573784505,0.05551366396787752,0.05563696280456237
2025-01-18,24307.82998,103732.91739551345,0.4775571545139267,0.4531047890168026,-0.04495689252801003,0.024452365497124096
2025-01-19,43397.28298,104002.45502674211,0.4859438831572123,0.4771491221414589,-0.028533153574860064,0.008794761015753438
2025-01-20,89529.231732,104980.09289809813,0.5005383378004415,0.49516745952318936,0.00013210492004898345,0.005370878277252189
