date,price,direction,buyer_participation_ratio,buyer_capital_ratio,buyer_volume_ratio,whale_impact
2025-01-02,95428.29607894707,1,0.5044844902564499,0.4967054489436818,-0.0063061753870402,0.007779041312768
2025-01-03,96822.70351758793,1,0.492653877504065,0.4895613985000612,-0.0207563237091305,0.0030924790040037
2025-01-03,98217.11095622879,1,0.492653877504065,0.4895613985000612,-0.0207563237091305,0.0030924790040037
2025-01-06,99611.51839486965,1,0.4981978367813598,0.4963245982321295,-0.0072928752212869,0.0018732385492303
2025-01-08,98217.11095622879,-1,0.4860365315028906,0.4690773928064147,-0.062216202199492,0.0169591386964759
2025-01-08,96822.70351758793,-1,0.4860365315028906,0.4690773928064147,-0.062216202199492,0.0169591386964759
2025-01-08,95428.29607894707,-1,0.4860365315028906,0.4690773928064147,-0.062216202199492,0.0169591386964759
2025-01-09,94033.8886403062,-1,0.4881931974274455,0.4437410307168244,-0.1128268055490903,0.044452166710621
2025-01-13,92639.48120166534,-1,0.4850872580088044,0.457400378815964,-0.0861530017103133,0.0276868791928403
2025-01-14,94033.8886403062,1,0.4988063993145262,0.5117486199757911,0.0233699762385467,0.0129422206612649
2025-01-14,95428.29607894707,1,0.4988063993145262,0.5117486199757911,0.0233699762385467,0.0129422206612649
2025-01-15,96822.70351758793,1,0.4796867496477152,0.5081853130023756,0.0156789838978845,0.0284985633546603
2025-01-15,98217.11095622879,1,0.4796867496477152,0.5081853130023756,0.0156789838978845,0.0284985633546603
2025-01-16,99611.51839486965,1,0.4683780899899143,0.4854914836443767,-0.0289506442289043,0.0171133936544624
2025-01-17,101005.92583351051,1,0.471763795737845,0.5274007585424074,0.0555136639678775,0.0556369628045623
2025-01-17,102400.33327215137,1,0.471763795737845,0.5274007585424074,0.0555136639678775,0.0556369628045623
2025-01-18,103794.74071079223,1,0.4531047890168026,0.4775571545139267,-0.04495689252801,0.024452365497124
2025-01-20,105189.1481494331,1,0.4951674595231893,0.5005383378004415,0.0001321049200489,0.0053708782772521
2025-01-23,103794.74071079223,-1,0.5126314699248699,0.5015050590703534,0.0025713547094751,0.0111264108545164
2025-01-25,105189.1481494331,1,0.485700812925487,0.4921319867573161,-0.0157818593192994,0.0064311738318291
2025-01-27,103794.74071079223,-1,0.4996372043279314,0.4636996805241813,-0.0728885232997562,0.03593752380375
2025-01-27,102400.33327215137,-1,0.4996372043279314,0.4636996805241813,-0.0728885232997562,0.03593752380375
2025-01-27,101005.92583351051,-1,0.4996372043279314,0.4636996805241813,-0.0728885232997562,0.03593752380375
2025-01-29,102400.33327215137,1,0.4798941133194815,0.5043878600123324,0.0084207560009041,0.0244937466928508
2025-01-30,103794.74071079223,1,0.5178178355043451,0.5234908233986607,0.0468555001010133,0.0056729878943155
2025-01-30,105189.1481494331,1,0.5178178355043451,0.5234908233986607,0.0468555001010133,0.0056729878943155
2025-02-01,103794.74071079223,-1,0.4756480450682289,0.4579022513933412,-0.0845475913928128,0.0177457936748876
2025-02-01,102400.33327215137,-1,0.4756480450682289,0.4579022513933412,-0.0845475913928128,0.0177457936748876
2025-02-01,101005.92583351051,-1,0.4756480450682289,0.4579022513933412,-0.0845475913928128,0.0177457936748876
