date,brick_low,brick_high,direction,trend
2021-04-30,54783.32793850371,56381.151289198155,up,3
2021-05-08,56381.151289198155,57978.9746398926,up,4
2021-05-12,54783.32793850371,56381.151289198155,down,1
2021-05-12,53185.504587809264,54783.32793850371,down,2
2021-05-12,51587.68123711482,53185.504587809264,down,3
2021-05-12,49989.857886420374,51587.68123711482,down,4
2021-05-15,48392.03453572593,49989.857886420374,down,5
2021-05-15,46794.21118503148,48392.03453572593,down,6
2021-05-17,45196.38783433704,46794.21118503148,down,7
2021-05-17,43598.56448364259,45196.38783433704,down,8
2021-05-19,42000.74113294815,43598.56448364259,down,9
2021-05-19,40402.9177822537,42000.74113294815,down,10
2021-05-19,38805.09443155926,40402.9177822537,down,11
2021-05-19,37207.27108086481,38805.09443155926,down,12
2021-05-20,38805.09443155926,40402.9177822537,up,1
2021-05-23,37207.27108086481,38805.09443155926,down,12
2021-05-23,35609.44773017037,37207.27108086481,down,13
2021-05-26,37207.27108086481,38805.09443155926,up,1
2021-05-29,35609.44773017037,37207.27108086481,down,13
2021-06-03,37207.27108086481,38805.09443155926,up,1
2021-06-05,35609.44773017037,37207.27108086481,down,13
2021-06-07,34011.62437947592,35609.44773017037,down,14
2021-06-09,35609.44773017037,37207.27108086481,up,1
2021-06-13,37207.27108086481,38805.09443155926,up,2
2021-06-15,38805.09443155926,40402.9177822537,up,3
2021-06-18,37207.27108086481,38805.09443155926,down,1
2021-06-21,35609.44773017037,37207.27108086481,down,2
2021-06-21,34011.62437947592,35609.44773017037,down,3
2021-06-21,32413.801028781476,34011.62437947592,down,4
2021-06-29,34011.62437947592,35609.44773017037,up,1
2021-07-15,32413.801028781476,34011.62437947592,down,4
2021-07-20,30815.97767808703,32413.801028781476,down,5
2021-07-24,32413.801028781476,34011.62437947592,up,1
2021-07-26,34011.62437947592,35609.44773017037,up,2
2021-07-26,35609.44773017037,37207.27108086481,up,3
2021-07-27,37207.27108086481,38805.09443155926,up,4
2021-07-30,38805.09443155926,40402.9177822537,up,5
2021-07-30,40402.9177822537,42000.74113294815,up,6
2021-08-03,38805.09443155926,40402.9177822537,down,1
2021-08-06,40402.9177822537,42000.74113294815,up,6
2021-08-07,42000.74113294815,43598.56448364259,up,7
2021-08-09,43598.56448364259,45196.38783433704,up,8
2021-08-13,45196.38783433704,46794.21118503148,up,9
2021-08-20,46794.21118503148,48392.03453572593,up,10
2021-09-03,48392.03453572593,49989.857886420374,up,11
2021-09-05,49989.857886420374,51587.68123711482,up,12
2021-09-07,48392.03453572593,49989.857886420374,down,1
2021-09-08,46794.21118503148,48392.03453572593,down,2
2021-09-10,45196.38783433704,46794.21118503148,down,3
2021-09-20,43598.56448364259,45196.38783433704,down,4
2021-09-21,42000.74113294815,43598.56448364259,down,5
2021-10-01,43598.56448364259,45196.38783433704,up,1
2021-10-01,45196.38783433704,46794.21118503148,up,2
2021-10-04,46794.21118503148,48392.03453572593,up,3
2021-10-05,48392.03453572593,49989.857886420374,up,4
2021-10-06,49989.857886420374,51587.68123711482,up,5
2021-10-06,51587.68123711482,53185.504587809264,up,6
2021-10-06,53185.504587809264,54783.32793850371,up,7
2021-10-11,54783.32793850371,56381.151289198155,up,8
2021-10-15,56381.151289198155,57978.9746398926,up,9
2021-10-15,57978.9746398926,59576.797990587045,up,10
2021-10-15,59576.797990587045,61174.62134128149,up,11
2021-10-19,61174.62134128149,62772.444691975936,up,12
2021-10-20,62772.444691975936,64370.26804267038,up,13
2021-10-20,64370.26804267038,65968.09139336483,up,14
2021-10-21,62772.444691975936,64370.26804267038,down,1
2021-10-22,61174.62134128149,62772.444691975936,down,2
2021-10-27,59576.797990587045,61174.62134128149,down,3
2021-11-02,61174.62134128149,62772.444691975936,up,1
2021-11-08,62772.444691975936,64370.26804267038,up,2
2021-11-08,64370.26804267038,65968.09139336483,up,3
2021-11-08,65968.09139336483,67565.91474405926,up,4
2021-11-12,64370.26804267038,65968.09139336483,down,1
2021-11-16,62772.444691975936,64370.26804267038,down,2
2021-11-16,61174.62134128149,62772.444691975936,down,3
2021-11-18,59576.797990587045,61174.62134128149,down,4
2021-11-18,57978.9746398926,59576.797990587045,down,5
2021-11-22,56381.151289198155,57978.9746398926,down,6
2021-11-26,54783.32793850371,56381.151289198155,down,7
2021-12-04,53185.504587809264,54783.32793850371,down,8
2021-12-04,51587.68123711482,53185.504587809264,down,9
2021-12-04,49989.857886420374,51587.68123711482,down,10
2021-12-09,48392.03453572593,49989.857886420374,down,11
2021-12-13,46794.21118503148,48392.03453572593,down,12
2021-12-23,48392.03453572593,49989.857886420374,up,1
2021-12-29,46794.21118503148,48392.03453572593,down,12
2022-01-05,45196.38783433704,46794.21118503148,down,13
2022-01-05,43598.56448364259,45196.38783433704,down,14
2022-01-07,42000.74113294815,43598.56448364259,down,15
2022-01-21,40402.9177822537,42000.74113294815,down,16
2022-01-21,38805.09443155926,40402.9177822537,down,17
2022-01-21,37207.27108086481,38805.09443155926,down,18
2022-01-22,35609.44773017037,37207.27108086481,down,19
2022-02-04,37207.27108086481,38805.09443155926,up,1
2022-02-04,38805.09443155926,40402.9177822537,up,2
2022-02-06,40402.9177822537,42000.74113294815,up,3
2022-02-07,42000.74113294815,43598.56448364259,up,4
2022-02-18,40402.9177822537,42000.74113294815,down,1
2022-02-20,38805.09443155926,40402.9177822537,down,2
2022-02-21,37207.27108086481,38805.09443155926,down,3
2022-02-28,38805.09443155926,40402.9177822537,up,1
2022-02-28,40402.9177822537,42000.74113294815,up,2
2022-03-01,42000.74113294815,43598.56448364259,up,3
2022-03-04,40402.9177822537,42000.74113294815,down,1
2022-03-06,38805.09443155926,40402.9177822537,down,2
2022-03-19,40402.9177822537,42000.74113294815,up,1
2022-03-24,42000.74113294815,43598.56448364259,up,2
2022-03-27,43598.56448364259,45196.38783433704,up,3
2022-03-27,45196.38783433704,46794.21118503148,up,4
2022-04-06,43598.56448364259,45196.38783433704,down,1
2022-04-11,42000.74113294815,43598.56448364259,down,2
2022-04-11,40402.9177822537,42000.74113294815,down,3
2022-04-26,38805.09443155926,40402.9177822537,down,4
2022-05-05,37207.27108086481,38805.09443155926,down,5
2022-05-07,35609.44773017037,37207.27108086481,down,6
2022-05-09,34011.62437947592,35609.44773017037,down,7
2022-05-09,32413.801028781476,34011.62437947592,down,8
2022-05-09,30815.97767808703,32413.801028781476,down,9
2022-05-11,29218.154327392585,30815.97767808703,down,10
2022-06-12,27620.33097669814,29218.154327392585,down,11
2022-06-13,26022.507626003695,27620.33097669814,down,12
2022-06-13,24424.68427530925,26022.507626003695,down,13
2022-06-13,22826.860924614804,24424.68427530925,down,14
2022-06-16,21229.03757392036,22826.860924614804,down,15
2022-06-18,19631.214223225914,21229.03757392036,down,16
2022-07-19,21229.03757392036,22826.860924614804,up,1
2022-08-28,19631.214223225914,21229.03757392036,down,16
2022-11-09,18033.39087253147,19631.214223225914,down,17
2022-11-09,16435.567521837023,18033.39087253147,down,18
2023-01-13,18033.39087253147,19631.214223225914,up,1
2023-01-20,19631.214223225914,21229.03757392036,up,2
2023-01-23,21229.03757392036,22826.860924614804,up,3
2023-02-17,22826.860924614804,24424.68427530925,up,4
2023-03-09,21229.03757392036,22826.860924614804,down,1
2023-03-14,22826.860924614804,24424.68427530925,up,4
2023-03-17,24424.68427530925,26022.507626003695,up,5
2023-03-19,26022.507626003695,27620.33097669814,up,6
2023-04-10,27620.33097669814,29218.154327392585,up,7
2023-06-05,26022.507626003695,27620.33097669814,down,1
2023-06-21,27620.33097669814,29218.154327392585,up,7
2023-07-03,29218.154327392585,30815.97767808703,up,8
2023-08-17,27620.33097669814,29218.154327392585,down,1
2023-08-26,26022.507626003695,27620.33097669814,down,2
2023-10-20,27620.33097669814,29218.154327392585,up,1
2023-10-23,29218.154327392585,30815.97767808703,up,2
2023-10-23,30815.97767808703,32413.801028781476,up,3
2023-10-25,32413.801028781476,34011.62437947592,up,4
2023-11-08,34011.62437947592,35609.44773017037,up,5
2023-11-10,35609.44773017037,37207.27108086481,up,6
2023-12-02,37207.27108086481,38805.09443155926,up,7
2023-12-04,38805.09443155926,40402.9177822537,up,8
2023-12-05,40402.9177822537,42000.74113294815,up,9
2023-12-05,42000.74113294815,43598.56448364259,up,10
2024-01-08,43598.56448364259,45196.38783433704,up,11
2024-01-08,45196.38783433704,46794.21118503148,up,12
2024-01-12,43598.56448364259,45196.38783433704,down,1
2024-01-14,42000.74113294815,43598.56448364259,down,2
2024-01-22,40402.9177822537,42000.74113294815,down,3
2024-02-07,42000.74113294815,43598.56448364259,up,1
2024-02-08,43598.56448364259,45196.38783433704,up,2
2024-02-09,45196.38783433704,46794.21118503148,up,3
2024-02-12,46794.21118503148,48392.03453572593,up,4
2024-02-14,48392.03453572593,49989.857886420374,up,5
2024-02-14,49989.857886420374,51587.68123711482,up,6
2024-02-26,51587.68123711482,53185.504587809264,up,7
2024-02-27,53185.504587809264,54783.32793850371,up,8
2024-02-27,54783.32793850371,56381.151289198155,up,9
2024-02-28,56381.151289198155,57978.9746398926,up,10
2024-02-28,57978.9746398926,59576.797990587045,up,11
2024-02-28,59576.797990587045,61174.62134128149,up,12
2024-03-03,61174.62134128149,62772.444691975936,up,13
2024-03-04,62772.444691975936,64370.26804267038,up,14
2024-03-04,64370.26804267038,65968.09139336483,up,15
2024-03-04,65968.09139336483,67565.91474405926,up,16
2024-03-05,64370.26804267038,65968.09139336483,down,1
2024-03-08,65968.09139336483,67565.91474405926,up,16
2024-03-11,67565.91474405926,69163.7380947537,up,17
2024-03-11,69163.7380947537,70761.56144544814,up,18
2024-03-13,70761.56144544814,72359.38479614258,up,19
2024-03-16,69163.7380947537,70761.56144544814,down,1
2024-03-16,67565.91474405926,69163.7380947537,down,2
2024-03-16,65968.09139336483,67565.91474405926,down,3
2024-03-19,64370.26804267038,65968.09139336483,down,4
2024-03-19,62772.444691975936,64370.26804267038,down,5
2024-03-20,64370.26804267038,65968.09139336483,up,1
2024-03-20,65968.09139336483,67565.91474405926,up,2
2024-03-22,64370.26804267038,65968.09139336483,down,1
2024-03-25,65968.09139336483,67565.91474405926,up,1
2024-03-25,67565.91474405926,69163.7380947537,up,2
2024-03-31,69163.7380947537,70761.56144544814,up,3
2024-04-02,67565.91474405926,69163.7380947537,down,1
2024-04-02,65968.09139336483,67565.91474405926,down,2
2024-04-07,67565.91474405926,69163.7380947537,up,1
2024-04-08,69163.7380947537,70761.56144544814,up,2
2024-04-12,67565.91474405926,69163.7380947537,down,1
2024-04-13,65968.09139336483,67565.91474405926,down,2
2024-04-13,64370.26804267038,65968.09139336483,down,3
2024-04-17,62772.444691975936,64370.26804267038,down,4
2024-04-22,64370.26804267038,65968.09139336483,up,1
2024-04-30,62772.444691975936,64370.26804267038,down,4
2024-04-30,61174.62134128149,62772.444691975936,down,5
2024-05-01,59576.797990587045,61174.62134128149,down,6
2024-05-03,61174.62134128149,62772.444691975936,up,1
2024-05-15,62772.444691975936,64370.26804267038,up,2
2024-05-15,64370.26804267038,65968.09139336483,up,3
2024-05-20,65968.09139336483,67565.91474405926,up,4
2024-05-20,67565.91474405926,69163.7380947537,up,5
2024-05-20,69163.7380947537,70761.56144544814,up,6
2024-05-31,67565.91474405926,69163.7380947537,down,1
2024-06-05,69163.7380947537,70761.56144544814,up,6
2024-06-11,67565.91474405926,69163.7380947537,down,1
2024-06-18,65968.09139336483,67565.91474405926,down,2
2024-06-21,64370.26804267038,65968.09139336483,down,3
2024-06-24,62772.444691975936,64370.26804267038,down,4
