date,sma_3,sma_5,sma_8,sma_10,sma_12,sma_15,sma_30,sma_35,sma_40,sma_45,sma_50,sma_60,ema_3,ema_5,ema_8,ema_10,ema_12,ema_15,ema_30,ema_35,ema_40,ema_45,ema_50,ema_60
2017-05-20,,,,,,,,,,,,,2046.122294108073,2046.122294108073,2046.122294108073,2046.122294108073,2046.122294108073,2046.122294108073,2046.122294108073,2046.122294108073,2046.122294108073,2046.122294108073,2046.122294108073,2046.122294108073
2017-08-12,,,,,,,,,,,,,3127.243821885851,3019.1316691080733,2958.3185831705737,2938.04755452474,2924.533535427518,2911.0195163302956,2883.991478135851,2880.1303298223593,2877.2344685872404,2874.982132071036,2873.180262858073,2870.4774590386287
2017-10-12,3667.8045857747397,,,,,,,,,,,,4362.811282203312,4094.5630835817574,3936.684551232426,3883.3105381556925,3847.5753709941396,3811.740883851663,3739.8526698176875,3729.566152922002,3721.8494028267432,3715.846523315885,3711.043681673065,3703.838633548094
2017-11-02,5289.486877441407,,,,,,,,,,,,5721.935488552518,5264.537919108073,4979.184208170574,4880.855052462034,4814.632206404529,4747.96936883767,4613.665931289755,4594.404595727743,4579.950228919324,4568.703617345797,4559.703909649356,4546.200815687244
2017-11-25,6911.169169108073,5289.486877441406,,,,,,,,,,,7172.73082905431,6519.198567804755,6083.090786662878,5929.2438960946365,5824.859088988101,5719.266721671092,5505.37552667431,5474.610505542871,5451.5133739151,5433.536846851896,5419.14886333684,5397.557008281987
2017-11-30,8532.85146077474,6911.169169108073,,,,,,,,,,,8687.297393314422,7847.599244296042,7245.097957832239,7026.697620983363,6877.197815544876,6725.078895547569,6414.910097893084,6370.138826258437,6336.508601765258,6310.324951022438,6289.363030516952,6257.898224477817
2017-12-05,10154.533752441406,8532.85146077474,,,,,,,,,,,10243.917815761615,9238.547105909918,8461.446957353137,8171.140768212875,7970.3965928918815,7764.742792922858,7342.182888844777,7280.934702636497,7234.899066998551,7199.042005401433,7170.327487864369,7127.213494853643
2017-12-06,11776.216044108072,10154.533752441406,7722.010314941406,,,,,,,,,,11827.092351297613,10681.291140757556,9728.060582026856,9360.25330400277,9103.032551971091,8837.494175158534,8287.092016571209,8206.933606799535,8146.641379944167,8099.657458214674,8062.019922453065,8005.489876093938
2017-12-07,13397.898335774737,11776.216044108072,9343.692606608072,,,,,,,,,,13426.460254806048,12166.008543195234,11040.675520958812,10591.524885571154,10273.536348841508,9942.47655432153,9249.520787759253,9148.061486356524,9071.685683275351,9012.136173063594,8964.414657058907,8892.712461205801
2017-12-07,15019.580627441404,13397.898335774738,10965.374898274738,9343.692606608072,,,,,,,,,15035.432849256327,13684.085783713845,12394.9657629749,11862.309656094825,11480.218059125751,11078.750870267493,10229.33805866445,10104.234933502408,10009.975739610089,9936.43847787039,9877.482679202698,9788.864391265159
2017-12-16,16641.26291910807,15019.580627441406,12587.057189941404,10965.374898274738,,,,,,,,,16649.977381838085,15228.224072958894,13786.651593969218,13169.879479543031,12721.293584774578,12245.305747147615,11226.39863629967,11075.361374339082,10961.449029868652,10872.520219941262,10801.19167386947,10693.926868673989
2017-12-22,16641.26291910807,15668.253544108073,13600.608622233072,12100.552502441406,10559.954325358072,,,,,,,,15834.579932996961,15158.136065216171,14074.755184478297,13539.446383564338,13129.92147600712,12679.55549124228,11670.696993587258,11516.818468784228,11400.129526112583,11308.670835246317,11235.091528427844,11124.083542616112
