date,sma_3,sma_5,sma_8,sma_10,sma_12,sma_15,sma_30,sma_35,sma_40,sma_45,sma_50,sma_60,ema_3,ema_5,ema_8,ema_10,ema_12,ema_15,ema_30,ema_35,ema_40,ema_45,ema_50,ema_60
2017-12-25,,,,,,,,,,,,,753.5451592339409,753.5451592339409,753.5451592339409,753.5451592339409,753.5451592339409,753.5451592339409,753.5451592339409,753.5451592339409,753.5451592339409,753.5451592339409,753.5451592339409,753.5451592339409
2018-01-02,,,,,,,,,,,,,793.1432585539641,789.1834486219617,786.9560555352105,786.2135911729599,785.7186149314597,785.2236386899593,784.2336862069589,784.092264423673,783.9861980862087,783.9037020459587,783.8377052137586,783.7387099654585
2018-01-02,812.9423082139756,,,,,,,,,,,,838.398229205419,828.573136892932,822.7905401692145,820.8356170485316,819.5267496713467,818.2142445139788,815.5812041331181,815.2044412001575,814.9218007856911,814.7019340889601,814.5260210250684,814.2621226529357
2018-01-03,872.3394571940103,,,,,,,,,,,,888.1786969220195,871.4256549020096,860.9740411872536,857.3725518322094,854.9470161564656,852.5053649682288,847.5862502134108,846.8807677500391,846.3513495137155,845.9394213163206,845.6097901786009,845.1152140906206
2018-01-05,931.7366061740449,872.3394571940102,,,,,,,,,,,941.3167914934054,917.379949311572,901.4066856328928,895.7717553347977,891.9484664138913,888.080948340276,880.2467830170026,879.1199565400111,878.2739808668748,877.615556919346,877.0885700953809,876.2977279939169
2018-01-07,991.1337551540796,931.7366061740449,,,,,,,,,,,996.7906264855114,966.0351102467266,943.9673730230726,935.9680519404145,930.4923417709521,924.9207016289884,913.560188920727,911.9203573057589,910.6885873932931,909.7295621810156,908.9617926113718,907.8093352024587
2018-01-07,1050.5309041341143,991.1337551540797,,,,,,,,,,,1053.804762739313,1016.9811788967271,988.5184315796824,977.8854240819755,970.5327929595371,963.0003376457925,947.523290320006,945.2799608715285,943.5938195586283,942.2804875696103,941.228764624368,939.649633940669
2018-01-09,1109.928053114149,1050.5309041341143,961.4351806640623,,,,,,,,,,1111.79149308215,1069.8243793301667,1034.9105261049092,1021.438896180231,1012.0177047374359,1002.2918647202508,982.1323555608182,979.1964037830396,976.9880881349812,975.2672140692205,973.8886688816941,971.8181501353926
2018-01-09,1169.3252020941836,1109.928053114149,1020.832329644097,,,,,,,,,,1170.371335833558,1124.2049329065437,1082.9875048582703,1066.5365222325802,1054.889596945715,1042.7639123788613,1017.3831105321736,1013.6669737328784,1010.8695670044494,1008.6884547434895,1006.9405649069603,1004.3143377901155
2018-01-09,1228.7223510742183,1169.3252020941836,1080.2294786241316,1020.832329644097,,,,,,,,,1229.3029683663008,1179.807352986998,1132.5909195841996,1113.0813927810393,1099.0865729412872,1084.3820857863452,1053.2707518489906,1048.6886157540835,1045.2361963676656,1042.5427565283198,1040.3833900638176,1037.137579415191
2018-01-11,1228.7223510742183,1193.0840616861976,1117.3526967366533,1062.4103339301212,,,,,,,,,1199.2994350674987,1176.2724354370987,1141.303046294196,1124.5712998668864,1111.9385485032985,1098.1749763861433,1067.674408264803,1063.047917009516,1059.5422440243356,1056.7958804752818,1054.587104064404,1051.2556955640475
2018-01-13,1248.52140073423,1228.7223510742183,1161.9005584716792,1109.928053114149,1055.4806665491171,,,,,,,,1243.7203125016556,1213.844370234499,1175.6102499740068,1157.247930937898,1143.262943311735,1127.90647897839,1093.4953133473678,1088.239074173243,1084.2512466020873,1081.1244238530185,1078.608045179581,1074.8101805041038
2018-01-13,1268.3204503942413,1264.3606404622392,1206.4484202067051,1157.4457722981767,1104.978290699146,,,,,,,,1295.6248167670276,1258.6319253088518,1215.325509643403,1194.5918297317655,1178.7291461178563,1161.2308380529416,1121.7617987902304,1115.7102051831127,1111.1164030278624,1107.5131735608693,1104.6127249656122,1100.234296355736
2018-01-16,1288.119500054253,1264.3606404622392,1228.7223510742183,1187.144346788194,1139.6266276041663,,,,,,,,1262.1715420947762,1248.6277982194401,1218.3935427994472,1201.1951761762184,1187.241392728474,1171.205465152165,1133.1322625331188,1127.1096373333455,1122.5106872018428,1118.8879011097156,1115.962218608438,1111.5303373463316
2018-01-16,1248.52140073423,1240.6017808702254,1236.1469946967227,1204.9634914822045,1164.3754396791808,1094.0888133861397,,,,,,,1215.7469553285264,1222.1330946623832,1207.232099824556,1195.1002231210184,1184.2401240827503,1170.933771626305,1136.825426572894,1131.183291223153,1126.838152398358,1123.39416769208,1120.5998877709505,1116.3459053287168
