date,open,high,low,close,volume
2017-12-18,721.7319946289062,881.9439697265625,543.7620239257812,694.1480102539062,24643379968
2017-12-25,698.8699951171875,789.2529907226562,685.2310180664062,756.7329711914062,17573120000
2018-01-01,755.7570190429688,1153.1700439453125,742.0040283203125,1153.1700439453125,36890379264
2018-01-08,1158.260009765625,1432.8800048828125,1016.0499877929688,1366.77001953125,48677970944
2018-01-15,1365.2099609375,1390.5899658203125,780.9219970703125,1049.5799560546875,39107450112
2018-01-22,1055.3499755859375,1257.77001953125,920.5399780273438,1246.010009765625,27353920000
2018-01-29,1246.699951171875,1256.699951171875,757.97998046875,834.6820068359375,29796040448
2018-02-05,834.9580078125,917.4000244140624,574.4190063476562,814.6599731445312,26305170176
2018-02-12,817.5079956054688,982.9329833984376,817.5079956054688,923.9210205078124,17505550464
2018-02-19,921.6680297851562,965.2650146484376,794.791015625,844.8099975585938,15304739968
2018-02-26,845.2780151367188,896.2589721679688,840.280029296875,866.677978515625,13222689920
2018-03-05,866.8460083007812,869.9199829101562,648.1069946289062,723.3389892578125,13237279872
2018-03-12,724.406005859375,742.5139770507812,460.0880126953125,538.6439819335938,12142639872
2018-03-19,546.6259765625,589.6069946289062,512.1270141601562,524.2869873046875,11232729984
2018-03-26,524.2869873046875,526.3790283203125,363.8049926757813,379.6069946289063,11200210048
2018-04-02,379.6990051269531,418.9679870605469,366.9110107421875,400.5079956054688,7831139008
2018-04-09,400.8569946289063,531.7020263671875,390.6099853515625,531.7020263671875,12297209856
2018-04-16,532.073974609375,640.7670288085938,500.25,621.8599853515625,15427349760
2018-04-23,621.198974609375,708.875,600.2119750976562,688.8809814453125,21004189952
2018-04-30,689.760986328125,835.0570068359375,637.5399780273438,792.3109741210938,22239290112
2018-05-07,793.3389892578125,795.7579956054688,644.0659790039062,733.4959716796875,21184490240
2018-05-14,732.7329711914062,742.1699829101562,663.8090209960938,715.3690185546875,16839129984
2018-05-21,717.1929931640625,719.2780151367188,557.2059936523438,572.6680297851562,15616179712
2018-05-28,573.0449829101562,624.5130004882812,512.552001953125,618.3289794921875,14385560320
2018-06-04,619.43701171875,623.4290161132812,511.8890075683594,526.47900390625,12776339968
2018-06-11,524.8569946289062,538.9550170898438,459.0039978027344,500.447998046875,12840910080
2018-06-18,499.3829956054688,543.7169799804688,426.468994140625,457.6719970703125,12666790016
2018-06-25,455.9360046386719,470.343994140625,407.9469909667969,453.9179992675781,12646410112
2018-07-02,453.8240051269531,503.1990051269531,447.1109924316406,489.1189880371094,11018640000
2018-07-09,488.87799072265625,490.85198974609375,422.80999755859375,449.8500061035156,10316429952
2018-07-16,450.4249877929688,513.4329833984375,443.6929931640625,459.6570129394531,13251330048
2018-07-23,459.4389953613281,483.6960144042969,449.7279968261719,466.6650085449219,12334920064
2018-07-30,466.8269958496094,467.9519958496094,399.9100036621094,410.5159912109375,12005330000
2018-08-06,410.5669860839844,414.5400085449219,308.4880065917969,319.57000732421875,11961110000
2018-08-13,320.2099914550781,323.5509948730469,254.6499938964844,300.8340148925781,12527550000
2018-08-20,301.3810119628906,304.3720092773437,264.9979858398437,275.1969909667969,9221910000
2018-08-27,275.3500061035156,301.1440124511719,273.6499938964844,294.3710021972656,10187290000
2018-09-03,295.1809997558594,295.59100341796875,188.3059997558593,196.9239959716797,12218500000
2018-09-10,197.8509979248047,226.60400390625,170.2570037841797,220.5890045166016,12682370000
2018-09-17,221.58200073242188,251.1959991455078,195.30799865722656,244.3300018310547,13787440000
2018-09-24,244.843994140625,245.1080017089844,206.4900054931641,232.84800720214844,13647920000
2018-10-01,233.22000122070312,234.1450042724609,213.9709930419922,226.11900329589844,10825890000
2018-10-08,226.50900268554688,230.76499938964844,188.70700073242188,195.71499633789065,10252300000
2018-10-15,195.2700042724609,222.1179962158203,194.15899658203125,205.1419982910156,10901660000
2018-10-22,205.1739959716797,206.9320068359375,201.55099487304688,205.36599731445312,8156850000
2018-10-29,205.1739959716797,211.27200317382807,195.73399353027344,207.48599243164065,10168130000
2018-11-05,207.1000061035156,221.6519927978516,206.572998046875,211.33999633789065,11601470000
2018-11-12,211.51300048828125,212.6230010986328,170.18899536132812,177.06700134277344,13955430000
2018-11-19,177.1790008544922,177.1790008544922,101.7699966430664,116.4499969482422,16623370000
2018-11-26,116.34300231933594,126.0479965209961,102.4520034790039,116.38890075683594,15337492464
2018-12-03,116.3787612915039,116.61906433105467,83.46971893310547,95.14205932617188,14107378338
2018-12-10,94.99217224121094,96.2573013305664,82.82988739013672,85.26210021972656,11464947012
2018-12-17,85.38211059570312,133.07530212402344,85.38211059570312,130.7652587890625,18450319823
2018-12-24,130.64166259765625,157.668701171875,115.6501007080078,139.8594512939453,21961215315
2018-12-31,140.03106689453125,160.82489013671875,132.51939392089844,157.74620056152344,20317174185
2019-01-07,157.8094940185547,158.45042419433594,116.08596801757812,116.8978042602539,18086850583
2019-01-14,116.97909545898438,130.8567352294922,116.96755981445312,119.4748306274414,19191855390
2019-01-21,119.63645935058594,119.71543884277344,113.40528869628906,113.40528869628906,17846974720
2019-01-28,113.28523254394533,113.688232421875,103.33646392822266,107.49266815185548,19416244611
2019-02-04,107.62582397460938,124.85362243652344,102.93456268310548,124.80648803710938,19617823832
2019-02-11,124.8715362548828,134.46009826660156,119.60002136230467,133.598876953125,23253993775
2019-02-18,133.0325469970703,165.54962158203125,133.00193786621094,135.8526611328125,33402513004
2019-02-25,135.49972534179688,142.52557373046875,131.328857421875,132.24942016601562,28668576022
2019-03-04,132.1578826904297,140.85787963867188,125.40270233154295,136.75868225097656,31970455850
2019-03-11,136.8495330810547,144.55844116210938,130.94415283203125,140.00054931640625,31314512819
2019-03-18,140.1048583984375,142.2672119140625,135.8554229736328,136.98692321777344,31748923603
2019-03-25,137.08135986328125,149.6132354736328,133.4901580810547,141.51409912109375,32890556026
2019-04-01,141.46548461914062,178.32205200195312,140.73756408691406,174.53164672851562,55308734158
2019-04-08,174.44967651367188,184.3778533935547,161.0297393798828,167.83851623535156,48696587657
2019-04-15,167.89747619628906,176.705810546875,159.5557403564453,170.04652404785156,42109293905
2019-04-22,170.01748657226562,176.8507843017578,152.08567810058594,157.29507446289062,46112628593
2019-04-29,157.2910614013672,170.64593505859375,153.1865234375,163.45069885253906,44058849491
